"Sales_Order #","Date","Day","Month","Year","Customer_Age","Age_Group","Customer_Gender","Country","State","Product_Category","Sub_Category","Product_Description","Order_Quantity","Unit_Cost ($)","Unit_Price ($)","Profit ($)","Cost ($)","Revenue ($)"
"000261762","2021-12-19",19,"December",2021,63,"Adults (35-64)","F","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Black, 46",4,1252,2295,4172,5008,9180
"000261763","2021-12-19",19,"December",2021,18,"Youth (<25)","M","Australia","South Australia","Bikes","Mountain Bikes","Mountain-500 Black, 40",2,295,540,490,590,1080
"000261764","2021-12-19",19,"December",2021,56,"Adults (35-64)","F","Germany","Hessen","Bikes","Mountain Bikes","Mountain-200 Black, 46",2,1252,2295,2086,2504,4590
"000261765","2021-12-19",19,"December",2021,39,"Adults (35-64)","F","United States","Washington","Bikes","Mountain Bikes","Mountain-200 Silver, 38",1,1266,2320,1054,1266,2320
"000261766","2021-12-20",20,"December",2021,33,"Young Adults (25-34)","F","Australia","Victoria","Bikes","Mountain Bikes","Mountain-100 Black, 38",4,1898,3375,5908,7592,13500
"000261767","2021-12-20",20,"December",2021,57,"Adults (35-64)","M","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Black, 46",4,1252,2295,4172,5008,9180
"000261768","2021-12-20",20,"December",2021,29,"Young Adults (25-34)","M","Canada","British Columbia","Bikes","Mountain Bikes","Mountain-500 Black, 52",3,295,540,735,885,1620
"000261769","2021-12-20",20,"December",2021,35,"Adults (35-64)","F","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Silver, 38",1,1266,2320,1054,1266,2320
"000261770","2021-12-20",20,"December",2021,35,"Adults (35-64)","M","Australia","Victoria","Bikes","Mountain Bikes","Mountain-200 Silver, 38",1,1266,2320,1054,1266,2320
"000261771","2021-12-21",21,"December",2021,26,"Young Adults (25-34)","M","France","Somme","Bikes","Mountain Bikes","Mountain-200 Silver, 38",3,1266,2320,3162,3798,6960
"000261772","2021-12-21",21,"December",2021,23,"Youth (<25)","M","United Kingdom","England","Bikes","Mountain Bikes","Mountain-400-W Silver, 46",2,420,769,698,840,1538
"000261773","2021-12-22",22,"December",2021,30,"Young Adults (25-34)","F","United States","Washington","Bikes","Mountain Bikes","Mountain-200 Silver, 38",3,1266,2320,3162,3798,6960
"000261774","2021-12-22",22,"December",2021,41,"Adults (35-64)","M","United States","California","Bikes","Mountain Bikes","Mountain-200 Black, 42",3,1252,2295,3129,3756,6885
"000261775","2021-12-22",22,"December",2021,19,"Youth (<25)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-500 Silver, 42",1,308,565,257,308,565
"000261776","2021-12-22",22,"December",2021,25,"Young Adults (25-34)","M","France","Seine (Paris)","Bikes","Mountain Bikes","Mountain-200 Black, 38",1,1252,2295,1043,1252,2295
"000261777","2021-12-22",22,"December",2021,27,"Young Adults (25-34)","F","Canada","British Columbia","Bikes","Mountain Bikes","Mountain-200 Black, 46",1,1252,2295,1043,1252,2295
"000261778","2021-12-22",22,"December",2021,41,"Adults (35-64)","M","Germany","Hessen","Bikes","Mountain Bikes","Mountain-200 Silver, 38",1,1266,2320,1054,1266,2320
"000261779","2021-12-23",23,"December",2021,30,"Young Adults (25-34)","F","United States","Oregon","Bikes","Mountain Bikes","Mountain-200 Silver, 42",1,1266,2320,1054,1266,2320
"000261780","2021-12-23",23,"December",2021,31,"Young Adults (25-34)","F","Canada","British Columbia","Bikes","Mountain Bikes","Mountain-200 Black, 42",1,1252,2295,1043,1252,2295
"000261781","2021-12-23",23,"December",2021,35,"Adults (35-64)","F","United States","California","Bikes","Mountain Bikes","Mountain-500 Black, 42",1,295,540,245,295,540
"000261782","2021-12-24",24,"December",2021,38,"Adults (35-64)","M","Australia","Queensland","Bikes","Mountain Bikes","Mountain-200 Black, 42",4,1252,2295,4172,5008,9180
